generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
78,74,2.7218794188146937e-05,2.9005106833609895e-05,2.831993452666404e-05,5.059373815769454e-07
79,60,2.7218794188146937e-05,2.902953216058267e-05,2.8424636582288982e-05,5.883381547210065e-07
80,72,2.7218794188146937e-05,2.9005106833609895e-05,2.8601996373168267e-05,4.779025961533627e-07
81,76,2.7218794188146937e-05,2.9005106833609895e-05,2.8681957827417477e-05,4.532329318420983e-07
82,66,2.7218794188146937e-05,2.9005106833609895e-05,2.872255076014477e-05,3.9843164240660554e-07
83,72,2.7218794188146937e-05,2.9005106833609895e-05,2.879081643039759e-05,3.4706810209571625e-07
84,74,2.7218794188146937e-05,2.9005106833609895e-05,2.8756204974592906e-05,3.517226301627827e-07
85,60,2.7218794188146937e-05,2.9005106833609895e-05,2.8691816247229956e-05,3.5940479224200443e-07
86,78,2.7218794188146937e-05,2.9005106833609895e-05,2.8668407237542053e-05,3.981374901860022e-07
87,70,2.7218794188146937e-05,2.9005106833609895e-05,2.8626608487023402e-05,4.3477045801413766e-07
88,72,2.7218794188146937e-05,2.9005106833609895e-05,2.8631383333086635e-05,4.4853234146992814e-07
89,69,2.7218794188146937e-05,2.9005106833609895e-05,2.8709059917056494e-05,5.042611389019863e-07
90,70,2.7218794188146937e-05,2.9005106833609895e-05,2.863086348282896e-05,5.975312315440472e-07
91,62,2.7218794188146937e-05,2.9005106833609895e-05,2.8644363039045754e-05,6.186513471757721e-07
92,72,2.7218794188146937e-05,2.9005106833609895e-05,2.8735615493340738e-05,5.110791362505929e-07
93,66,2.7218794188146937e-05,2.9005106833609895e-05,2.877192465399076e-05,5.122376940628371e-07
94,71,2.7218794188146937e-05,2.9005106833609895e-05,2.885071031816269e-05,3.943423251148937e-07
95,68,2.7218794188146937e-05,2.949962800264598e-05,2.8900202602954854e-05,3.4006085958618093e-07
96,67,2.693192576872238e-05,2.949962800264598e-05,2.887166838221444e-05,4.096915717090292e-07
97,70,2.693192576872238e-05,2.949962800264598e-05,2.887322837004268e-05,4.303990705369932e-07
98,58,2.693192576872238e-05,2.949962800264598e-05,2.890091306691206e-05,3.7758154166207235e-07
99,66,2.693192576872238e-05,2.949962800264598e-05,2.891416587665131e-05,3.8482003900787556e-07
100,70,2.693192576872238e-05,2.949962800264598e-05,2.8871842115479924e-05,4.2844115052911775e-07
101,70,2.8455671192729235e-05,2.949962800264598e-05,2.8993079622872686e-05,2.2485524354037186e-07
102,60,2.8455671192729235e-05,2.949962800264598e-05,2.9011624166711538e-05,2.4460729386809214e-07
103,66,2.8455671192729235e-05,2.949962800264598e-05,2.903085514144845e-05,2.480977914248286e-07
104,68,2.8455671192729235e-05,2.949962800264598e-05,2.9025373985801184e-05,2.4214427760114444e-07
105,70,2.7341198128048203e-05,2.949962800264598e-05,2.8993735298405722e-05,3.2402177808074945e-07
106,68,2.7866418033200887e-05,2.949962800264598e-05,2.8978810872086578e-05,2.681162379820493e-07
107,70,2.693799016763319e-05,2.949962800264598e-05,2.8938591601433342e-05,4.135960540709425e-07
108,68,2.693799016763319e-05,2.949962800264598e-05,2.893174474686422e-05,4.1413753277140516e-07
